City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,72.01,light rain,-23.1203,-134.9692,People ThankYou
5,Atuona,PF,77.36,broken clouds,-9.8,-139.0333,Villa Enata
7,Lompoc,US,81.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
9,Butaritari,KI,81.9,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
10,Mana,GF,79.75,overcast clouds,5.6592,-53.7767,LE SAMANA
14,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Champerico,GT,81.73,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
17,Kavieng,PG,83.46,few clouds,-2.5744,150.7967,Nusa Island Retreat
20,Sabang,ID,81.55,overcast clouds,5.8933,95.3214,Hotel Citra
21,Belvidere,US,77.45,overcast clouds,42.2639,-88.8443,Americas Best Value Inn Belvidere Rockford
23,Omboue,GA,71.31,overcast clouds,-1.5746,9.2618,Hotel Olako
25,Lagoa,PT,73.45,light rain,39.05,-27.9833,Casa Das Faias
26,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
27,Ughelli,NG,74.32,overcast clouds,5.4899,6.0074,Prestige Hotel
34,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
35,Sibolga,ID,77.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
37,Coruripe,BR,72.32,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
38,Fortuna,US,71.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
41,Ialibu,PG,70.09,broken clouds,-6.2821,143.9935,Eastwood Guesthouse
42,Arraial Do Cabo,BR,70.32,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Ribeira Grande,PT,74.08,light rain,38.5167,-28.7,Quinta da Meia Eira
49,Miri,MY,80.8,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
53,Jamestown,US,77.72,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
54,Hithadhoo,MV,81.43,overcast clouds,-0.6,73.0833,Scoop Guest House
55,Harper,LR,73.0,broken clouds,4.375,-7.7169,Screensaver
57,Afua,BR,75.36,clear sky,-0.1567,-50.3867,Hotel Dias
61,Hilo,US,88.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
66,Lodwar,KE,79.27,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
68,Kraskino,RU,80.87,clear sky,42.7114,130.7794,"Gostinichnyy Kompleks ""Orion"""
70,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
72,Sao Joao Da Barra,BR,71.96,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
74,Yangjiang,CN,82.27,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
77,Sorong,ID,81.25,broken clouds,-0.8833,131.25,Waigo Splash Hotel
82,Sao Filipe,CV,79.54,broken clouds,14.8961,-24.4956,Hotel Xaguate
