City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,2022-08-08 01:13:56,73.5069,80.5464,42.1,100,100,6.17,overcast clouds
1,Rikitea,PF,2022-08-08 01:10:55,-23.1203,-134.9692,72.01,73,100,34.05,light rain
2,Prince Rupert,CA,2022-08-08 01:12:04,54.3161,-130.3201,60.96,69,2,6.85,clear sky
3,Saldanha,ZA,2022-08-08 01:13:57,-33.0117,17.9442,56.89,86,34,12.8,scattered clouds
4,Haines Junction,CA,2022-08-08 01:13:58,60.7522,-137.5108,58.82,47,57,8.88,broken clouds
5,Atuona,PF,2022-08-08 01:13:58,-9.8,-139.0333,77.36,67,74,17.2,broken clouds
6,Cape Town,ZA,2022-08-08 01:13:58,-33.9258,18.4232,56.12,90,0,3.0,clear sky
7,Lompoc,US,2022-08-08 01:10:51,34.6391,-120.4579,81.01,70,0,25.99,clear sky
8,Khatanga,RU,2022-08-08 01:13:59,71.9667,102.5,57.06,66,41,6.26,scattered clouds
9,Butaritari,KI,2022-08-08 01:14:00,3.0707,172.7902,81.9,72,90,14.92,overcast clouds
10,Mana,GF,2022-08-08 01:14:00,5.6592,-53.7767,79.75,82,99,8.16,overcast clouds
11,Mandurah,AU,2022-08-08 01:12:57,-32.55,115.7,59.92,71,98,26.33,overcast clouds
12,Barrow,US,2022-08-08 01:10:57,71.2906,-156.7887,46.42,76,100,17.27,overcast clouds
13,Batagay-Alyta,RU,2022-08-08 01:09:53,67.8006,130.4114,63.55,62,7,2.46,clear sky
14,Vaini,TO,2022-08-08 01:14:02,-21.2,-175.2,80.76,89,20,10.36,few clouds
15,Champerico,GT,2022-08-08 01:14:02,14.3,-91.9167,81.73,77,100,9.44,overcast clouds
16,Kansanshi,ZM,2022-08-08 01:14:03,-12.0951,26.4273,54.45,53,2,3.18,clear sky
17,Kavieng,PG,2022-08-08 01:14:03,-2.5744,150.7967,83.46,72,22,12.82,few clouds
18,Dunedin,NZ,2022-08-08 01:11:55,-45.8742,170.5036,43.81,50,77,8.99,broken clouds
19,Avera,US,2022-08-08 01:14:04,33.194,-82.5271,79.38,63,87,4.79,overcast clouds
20,Sabang,ID,2022-08-08 01:14:04,5.8933,95.3214,81.55,71,100,14.99,overcast clouds
21,Belvidere,US,2022-08-08 01:13:22,42.2639,-88.8443,77.45,94,100,5.5,overcast clouds
